city,zone,ward,ward_no,year,res_collection,res_demand,com_collection,com_demand,total_collection,total_demand,efficiency,risk_flag,gap,growth,commercial_share,risk_score
CHENNAI,Adayar,0.0,N170,2013_14,0.5292251,0.7254859,14.53662553,18.4023821,15.06585063,19.127868,0.7876387807569563,0,4.0620173699999995,,0.9648725377015105,0.21236121924304371
CHENNAI,Adayar,0.0,N171,2013_14,0.72765916,1.3162054,3.6156274,5.2936728,4.34328656,6.609878200000001,0.657090256216824,0,2.2665916400000006,-0.711713154028529,0.832463469783122,0.34290974378317596
CHENNAI,Adayar,0.0,N172,2013_14,0.959805201,1.3663463,0.5382783,0.8401903,1.498083501,2.2065365999999997,0.6789298219662434,0,0.7084530989999998,-0.6550806675302585,0.3593112798056241,0.3210701780337566
CHENNAI,Adayar,0.0,N173,2013_14,1.955436715,2.4426871,5.702003718,5.4448534,7.6574404330000005,7.8875405,0.9708273996184236,0,0.23010006699999952,4.111491067012293,0.7446357262443755,0.02917260038157643
CHENNAI,Adayar,0.0,N174,2013_14,0.6297211,0.8118349,5.6858103,5.6923764,6.3155314,6.5042113,0.9709911177086145,0,0.18867989999999946,-0.1752425036461267,0.9002900848533505,0.02900888229138552
CHENNAI,Adayar,0.0,N175,2013_14,2.419754304,2.8227975,2.618101921,3.3986198,5.0378562250000005,6.221417300000001,0.8097602173382583,0,1.183561075,-0.20230683596949572,0.5196857163187502,0.19023978266174169
CHENNAI,Adayar,0.0,N176,2013_14,1.717854971,1.879297,0.7195182,1.0457582,2.437373171,2.9250552,0.8332742476107801,0,0.48768202900000013,-0.5161884217924462,0.2952023139340611,0.16672575238921994
CHENNAI,Adayar,0.0,N177,2013_14,1.506532359,1.8374305,0.3133215,0.5545423,1.819853859,2.3919728,0.7608171209137495,0,0.572118941,-0.25335443884723063,0.1721684949868274,0.23918287908625047
CHENNAI,Adayar,0.0,N178,2013_14,1.08513789,1.3102806,0.4880869,0.6936352,1.5732247899999998,2.0039158,0.7850752960778091,0,0.4306910100000003,-0.13552135946538124,0.31024612827261644,0.21492470392219087
CHENNAI,Adayar,0.0,N179,2013_14,1.740839483,2.0433236,1.8212859,2.97898,3.5621253829999997,5.0223036,0.7092612607091295,0,1.4601782170000002,1.2642189505544215,0.511291912601382,0.29073873929087046
CHENNAI,Adayar,0.0,N180,2013_14,0.537716518,0.7111209,3.1677276,5.4190967,3.705444118,6.1302176,0.6044555609249499,0,2.424773482,0.04023405118864676,0.8548847315257232,0.3955444390750501
CHENNAI,Adayar,0.0,N181,2013_14,1.671350404,1.9932274,0.5650488,0.9143005,2.236399204,2.9075279,0.7691754923486719,0,0.6711286959999998,-0.39645582748469876,0.25266007919755995,0.2308245076513281
CHENNAI,Adayar,0.0,N182,2013_14,2.022956256,2.3818815,0.6017732,0.9853049,2.624729456,3.3671864,0.77950227406478,0,0.7424569440000002,0.17364084699432758,0.22927056296197562,0.22049772593522
CHENNAI,Adayar,0.0,N170,2014_15,0.650504601,0.7537616,21.4896034,18.7328742,22.140108001,19.486635800000002,1.1361688199150313,0,-2.6534722009999996,7.435196225801034,0.9706187250319366,-0.13616881991503121
CHENNAI,Adayar,0.0,N171,2014_15,0.966495257,1.3522726,5.25781995,4.8922626,6.224315207,6.2445352,0.9967619698900889,0,0.020219992999999548,-0.7188669898665867,0.8447226361683838,0.003238030109911077
CHENNAI,Adayar,0.0,N172,2014_15,1.239486525,1.4409463,0.7933264,0.8822107,2.032812925,2.323157,0.8750217591837314,0,0.29034407500000015,-0.6734077794270679,0.39026040726300476,0.12497824081626863
CHENNAI,Adayar,0.0,N173,2014_15,1.950419185,2.5240453,5.4785713,5.5057817,7.428990485,8.029827000000001,0.9251744134711742,0,0.600836515000001,2.6545372147316506,0.7374583816013596,0.07482558652882573
CHENNAI,Adayar,0.0,N174,2014_15,0.838844073,0.856663,5.6894713,5.7903681,6.528315373,6.6470311,0.9821400373769876,0,0.11871572700000055,-0.12123788741129338,0.8715068091732645,0.01785996262301235
CHENNAI,Adayar,0.0,N175,2014_15,2.650282244,2.8880317,3.344037912,3.4469962,5.994320156000001,6.3350279,0.9462184303876547,0,0.3407077439999995,-0.08179678622888109,0.55786775230095,0.053781569612345266
CHENNAI,Adayar,0.0,N176,2014_15,1.999121284,1.9833297,1.0814764,1.1099937,3.080597684,3.0933234,0.9958860699789747,0,0.012725716000000276,-0.4860805556212271,0.3510605768539557,0.004113930021025354
CHENNAI,Adayar,0.0,N177,2014_15,1.923372157,2.077007,0.5046734,0.6227808,2.428045557,2.6997878,0.8993468142199915,0,0.27174224300000027,-0.211826468087418,0.2078517013591603,0.10065318578000845
CHENNAI,Adayar,0.0,N178,2014_15,1.402623882,1.4254165,0.7853592,0.8166108,2.187983082,2.2420273,0.9758949331259258,0,0.05404421800000003,-0.09887066340576067,0.35894208070480865,0.024105066874074207
CHENNAI,Adayar,0.0,N179,2014_15,2.153012775,2.2114081,4.143273098,3.1591783,6.296285873,5.3705864000000005,1.1723646924291171,0,-0.9256994729999999,1.8776666167110703,0.6580503461202991,-0.17236469242911717
CHENNAI,Adayar,0.0,N180,2014_15,0.619992917,0.7362929,9.3616458,9.2110303,9.981638717,9.9473232,1.0034497237407547,0,-0.034315516999999573,0.5853217147912049,0.9378866602390574,-0.0034497237407546755
CHENNAI,Adayar,0.0,N181,2014_15,2.032198708,2.0941311,1.041273854,0.9267426,3.073472562,3.0208736999999997,1.0174118044061229,0,-0.05259886200000041,-0.6920873767184654,0.338793931943356,-0.017411804406122833
CHENNAI,Adayar,0.0,N182,2014_15,2.587309304,2.5363576,0.962065403,1.0130801,3.549374707,3.5494377000000004,0.9999822526818825,0,6.299300000023322e-05,0.15484183945026553,0.271052081681496,1.7747318117534425e-05
CHENNAI,Adayar,0.0,N170,2015_16,2.050127531,0.778144,20.8735432,18.8288776,22.923670731,19.6070216,1.169156193054839,0,-3.316649131000002,5.458509631510709,0.9105672230657377,-0.16915619305483914
